Region,Outflow_Location,monkey,left,height
Control,Uveal,1,1,47.89
Control,Corneaoscleral,1,1,48.3333333
Control,TM,1,1,31.7353333
Control,SC,1,1,41.01
Control,CC,1,1,54.2676667
Control,ISV,1,1,54.929
Control,ESV,1,1,57.644
Control,Uveal,1,1,46.2446667
Control,Corneaoscleral,1,1,59.2736667
Control,TM,1,1,63.74
Control,SC,1,1,52.8976667
Control,CC,1,1,59.2543333
Control,ISV,1,1,68.008
Control,ESV,1,1,53.3936667
Control,Uveal,1,1,46.547
Control,Corneaoscleral,1,1,40.6913333
Control,TM,1,1,47.695
Control,SC,1,1,45.956
Control,CC,1,1,203.595
Control,ISV,1,1,44.4353333
Control,ESV,1,1,63.0463333
Control,Uveal,1,1,51.9433333
Control,TM,1,1,44.9116667
Control,SC,1,1,48.403
Control,CC,1,1,188.429
Control,ISV,1,1,58.6593333
Control,ESV,1,1,50.6546667
Control,Uveal,1,1,58.988
Control,TM,1,1,39.7243333
Control,SC,1,1,68.9816667
Control,CC,1,1,173.800667
Control,ISV,1,1,51.7873333
Control,ESV,1,1,71.0443333
Control,Uveal,1,1,87.613
Control,Corneaoscleral,1,1,53.0223333
Control,TM,1,1,70.247
Control,SC,1,1,129.821
Control,CC,1,1,46.8643333
Control,ISV,1,1,61.6806667
Control,ESV,1,1,152.011
Control,Uveal,1,1,58.4853333
Control,Corneaoscleral,1,1,63.5866667
Control,TM,1,1,79.908
Control,SC,1,1,95.4106667
Control,CC,1,1,46.2486667
Control,ISV,1,1,49.3526667
Control,ESV,1,1,121.046333
Control,Corneaoscleral,1,1,47.2603333
Control,TM,1,1,98.4073333
Control,SC,1,1,48.699
Control,CC,1,1,55.6403333
Control,ISV,1,1,59.5593333
Control,ESV,1,1,78.6593333
Control,Corneaoscleral,1,1,74.009
Control,TM,1,1,96.722
Control,SC,1,1,66.8986667
Control,CC,1,1,52.2036667
Control,ISV,1,1,61.9123333
Control,ESV,1,1,185.148667
Control,Corneaoscleral,1,1,59.9526667
Control,TM,1,1,66.069
Control,SC,1,1,41.543
Control,CC,1,1,54.2516667
Control,ISV,1,1,63.8326667
Control,ESV,1,1,150.089
Control,Uveal,2,0,66.3656667
Control,Corneaoscleral,2,0,133.533667
Control,TM,2,0,66.3656667
Control,SC,2,0,184.533
Control,CC,2,0,140.093667
Control,ISV,2,0,309.193333
Control,ESV,2,0,114.901
Control,Uveal,2,0,42.3183333
Control,Corneaoscleral,2,0,118.549667
Control,TM,2,0,42.3183333
Control,SC,2,0,139.557
Control,CC,2,0,144.901
Control,ISV,2,0,492.277667
Control,ESV,2,0,178.650333
Control,Uveal,2,0,101.165667
Control,Corneaoscleral,2,0,155.366
Control,TM,2,0,55.0433333
Control,SC,2,0,192.875667
Control,CC,2,0,131.415333
Control,ISV,2,0,435.055667
Control,ESV,2,0,110.722333
Control,Uveal,2,0,55.0433333
Control,TM,2,0,133.533667
Control,SC,2,0,180.659667
Control,CC,2,0,141.426
Control,ISV,2,0,180.933667
Control,ESV,2,0,232.732
Control,Uveal,2,0,87.2683333
Control,TM,2,0,118.549667
Control,SC,2,0,148.738333
Control,CC,2,0,172.099
Control,ISV,2,0,203.340333
Control,ESV,2,0,187.816667
Control,Uveal,2,0,77.929
Control,Corneaoscleral,2,0,96.618
Control,TM,2,0,99.438
Control,SC,2,0,101.681333
Control,CC,2,0,157.474667
Control,ISV,2,0,140.685667
Control,ESV,2,0,166.829667
Control,Uveal,2,0,80.3116667
Control,Corneaoscleral,2,0,96.9086667
Control,TM,2,0,82.17
Control,SC,2,0,117.429667
Control,CC,2,0,177.362
Control,ISV,2,0,103.234
Control,ESV,2,0,111.372333
Control,Uveal,2,0,74.588
Control,Corneaoscleral,2,0,81.3036667
Control,TM,2,0,97.6333333
Control,SC,2,0,83.811
Control,CC,2,0,139.551667
Control,ISV,2,0,158.157667
Control,ESV,2,0,137.464
Control,Uveal,2,0,89.492
Control,TM,2,0,80.574
Control,SC,2,0,115.407333
Control,CC,2,0,117.588
Control,ISV,2,0,156.977
Control,ESV,2,0,110.695667
Control,TM,2,0,88.3296667
Control,SC,2,0,88.7986667
Control,CC,2,0,233.314333
Control,ISV,2,0,150.781
Control,ESV,2,0,96.485
Control,Uveal,3,0,57.7593333
Control,Corneaoscleral,3,0,54.757
Control,TM,3,0,67.6596667
Control,SC,3,0,163.335667
Control,CC,3,0,215.977
Control,Uveal,3,0,65.983
Control,Corneaoscleral,3,0,65.1966667
Control,TM,3,0,52.9523333
Control,SC,3,0,129.799
Control,CC,3,0,143.161
Control,Uveal,3,0,66.5586667
Control,Corneaoscleral,3,0,72.5613333
Control,TM,3,0,55.5043333
Control,SC,3,0,122.558
Control,CC,3,0,228.328
Control,Uveal,3,0,57.3933333
Control,Corneaoscleral,3,0,86.558
Control,TM,3,0,82.0816667
Control,SC,3,0,113.080333
Control,CC,3,0,199.967
Control,Uveal,3,0,56.0716667
Control,Corneaoscleral,3,0,76.5593333
Control,TM,3,0,66.633
Control,SC,3,0,118.775
Control,CC,3,0,192.214333
Control,Uveal,3,0,92.0896667
Control,Corneaoscleral,3,0,77.2613333
Control,TM,3,0,82.08
Control,SC,3,0,123.283
Control,CC,3,0,144.229667
Control,ISV,3,0,159.528333
Control,ESV,3,0,154.359667
Control,Uveal,3,0,90.9463333
Control,Corneaoscleral,3,0,96.7626667
Control,TM,3,0,106.168333
Control,SC,3,0,165.106333
Control,CC,3,0,166.459333
Control,ISV,3,0,202.218
Control,ESV,3,0,156.148
Control,Uveal,3,0,171.606333
Control,TM,3,0,108.227333
Control,SC,3,0,144.154333
Control,CC,3,0,133.139333
Control,ISV,3,0,144.212333
Control,ESV,3,0,135.680667
Control,Uveal,3,0,93.5383333
Control,TM,3,0,127.534
Control,SC,3,0,164.841
Control,CC,3,0,181.791
Control,ISV,3,0,168.527333
Control,ESV,3,0,146.998667
Control,Uveal,3,0,80.4323333
Control,TM,3,0,96.3913333
Control,SC,3,0,209.499
Control,CC,3,0,147.829
Control,ISV,3,0,158.776333
Control,ESV,3,0,151.147
Control High Flow,Uveal,4,0,101.454667
Control High Flow,Corneaoscleral,4,0,80.2776667
Control High Flow,TM,4,0,95.454
Control High Flow,SC,4,0,135
Control High Flow,CC,4,0,109.168
Control High Flow,ISV,4,0,104.848333
Control High Flow,ESV,4,0,258.875667
Control High Flow,Uveal,4,0,97.5763333
Control High Flow,Corneaoscleral,4,0,81.311
Control High Flow,TM,4,0,87.6193333
Control High Flow,SC,4,0,110.883667
Control High Flow,CC,4,0,129.315333
Control High Flow,ISV,4,0,126.001
Control High Flow,ESV,4,0,246.094
Control High Flow,Uveal,4,0,122.361
Control High Flow,Corneaoscleral,4,0,101.511333
Control High Flow,TM,4,0,98.3693333
Control High Flow,SC,4,0,91.365
Control High Flow,CC,4,0,107.676
Control High Flow,ISV,4,0,125.863333
Control High Flow,ESV,4,0,219.852
Control High Flow,Uveal,4,0,67.441
Control High Flow,Corneaoscleral,4,0,105.297333
Control High Flow,TM,4,0,115.979333
Control High Flow,SC,4,0,112.416
Control High Flow,CC,4,0,134.766
Control High Flow,ISV,4,0,107.244
Control High Flow,ESV,4,0,163.381
Control High Flow,Corneaoscleral,4,0,100.967667
Control High Flow,TM,4,0,90.7183333
Control High Flow,SC,4,0,65.2563333
Control High Flow,CC,4,0,118.370333
Control High Flow,ISV,4,0,113.368667
Control High Flow,ESV,4,0,186.159333
Control High Flow,Uveal,4,0,88.989
Control High Flow,Corneaoscleral,4,0,125.727
Control High Flow,TM,4,0,111.332667
Control High Flow,SC,4,0,85.5736667
Control High Flow,CC,4,0,180.839667
Control High Flow,ISV,4,0,178.453333
Control High Flow,ESV,4,0,159.325667
Control High Flow,Uveal,4,0,67.449
Control High Flow,Corneaoscleral,4,0,88.852
Control High Flow,TM,4,0,112.266333
Control High Flow,SC,4,0,138.724333
Control High Flow,CC,4,0,209.834667
Control High Flow,ISV,4,0,231.617667
Control High Flow,ESV,4,0,157.505333
Control High Flow,Uveal,4,0,74.611
Control High Flow,Corneaoscleral,4,0,99.5383333
Control High Flow,TM,4,0,99.2776667
Control High Flow,SC,4,0,158.848333
Control High Flow,CC,4,0,169.665
Control High Flow,ISV,4,0,201.620333
Control High Flow,ESV,4,0,141.037333
Control High Flow,Uveal,4,0,96.4033333
Control High Flow,Corneaoscleral,4,0,114.080667
Control High Flow,TM,4,0,87.8383333
Control High Flow,SC,4,0,105.375333
Control High Flow,CC,4,0,202.660333
Control High Flow,ISV,4,0,235.691333
Control High Flow,ESV,4,0,147.205333
Control High Flow,Uveal,4,0,84.957
Control High Flow,Corneaoscleral,4,0,77.3706667
Control High Flow,TM,4,0,79.5933333
Control High Flow,SC,4,0,108.478
Control High Flow,CC,4,0,187.521
